column,type
Category,categorical
Conductivity (MSm-1),numeric
Density (g cm-3),numeric
Specific Conductivity (kS m2/kg),numeric
Electrical Anisotropy,numeric
Alignment figure of merit,numeric
Alignment method,categorical
Alignment FWHM,numeric
FWHM type,categorical
Raman G:D,numeric
Raman wavelength,numeric
(10^-12)*G:D λ^4,numeric
Doped or Acid Exposure (Yes/ No),categorical
Tensile Strength (MPa),numeric
Specific Strength (N/Tex),numeric
Young's Modulus (GPa),numeric
Uber Parameter,numeric
Specific Uber Parameter,numeric
CNT Diameter (nm),numeric
Plottable CNT Diameter (nm),numeric
Date Entered and Checked,date
Notes,text
Year,numeric
Production Process,categorical
Post Process,categorical
Intentionally added intercalation dope,categorical
Host Conductivity (MSm-1),numeric
Sorted Status,categorical
Bulk Fiber Diameter (microns),numeric
G Peak Position (cm-1),numeric
Thermal Conductivity (W/(m K)),numeric
T Star (K),numeric
R value at lowest temp,numeric
R value at 4.2 K,numeric
R value at 10 K,numeric
R value at 77 K,numeric
R value at 300 K,numeric
R(300K)/R(4.2K),numeric
R(300K)/R(10K),numeric
Reference,text
Log Conductivity,numeric
Log Density,numeric
Log Specific Conductivity,numeric
Log Tensile Strength,numeric
Log Specific Strength,numeric
Log Youngs Modulus,numeric
Log Raman G:D Ratio,numeric
Log Raman (10^-12)*G:D λ^4,numeric
Log CNT Diameter,numeric
Log Fiber Diameter,numeric
Log Thermal Conductivity,numeric
Log (R(300K)/R(4.2)),numeric
Log (R(300K)/R(10)),numeric
Log Host Conductivity,numeric
Log Thermal Conductivity,numeric
Ampacity Measurement Config,categorical
Medium 1,categorical
Substrate,categorical
Absolute I max (mA),numeric
Absolute J max (A/m2),numeric
Specific J max (mA/tex),numeric
Absolute J failure (A/m2,numeric
Specific J failure (mA/tex),numeric
Breakdown Temp (oC),numeric
Medium 2,categorical
Substrate 2,categorical
Absolute I max (mA),numeric
Absolute J max (A/m2),numeric
Specific J max (mA/tex),numeric
Absolute J failure (A/m2,numeric
Specific J failure (mA/tex),numeric
Probe separation for Electrical conductivity (microns),numeric
Probe separation for Ampacity (microns),numeric
Notes on ampacity,text
Substrate for ampacity (Yes/No),categorical
Notes on substrate,text
Log (Jmax in Air (A/m2)),numeric
Log (Jmax in Vacuum(A/m2)),numeric
Bulk fibre diameter (nm),numeric
Log (Bulk fibre diameter (nm)),numeric
Effective diameter for ampacity (nm),numeric
Log (Effective diameter for ampacity (nm)),numeric
Notes on diameter,text
Category 2,categorical
Diameter Regime,categorical
Log (Probe separation for ampacity (microns)),numeric
Probe separation regime,categorical
Absolute I max (mA).1,numeric
Specific J failure (mA/tex).1,numeric
Specific J max (mA/tex).1,numeric
Absolute J failure (A/m2.1,numeric
Absolute J max (A/m2).1,numeric
